no,name, latitude, longitude, phone, distance, address
1,청주청원경찰서 내덕지구대,36.6551617,127.4880722,043-251-1701,0.98,충청북도 청주시 청원구 중앙로 202
2,청주상당경찰서 성안지구대,36.6365503,127.4908661,043-280-1711,1.56,충청북도 청주시 상당구 상당로 94
3,청주청원경찰서 율량지구대,36.6723815,127.4856854,043-251-1705,2.7,충청북도 청주시 청원구 율량로3번길 41
4,청주상당경찰서 용암지구대,36.6225650,127.5150335,043-280-1701,3.44,충청북도 청주시 상당구 용암북로160번길 7 용암지구대
5,청주흥덕경찰서 봉명지구대,36.6581664,127.4563370,043-270-3705,3.72,충청북도 청주시 흥덕구 송절로64번길 13
6,청주청원경찰서 사창지구대,36.6320167,127.4608275,043-251-1703,3.76,충청북도 청주시 서원구 1순환로 690
7,청주상당경찰서분평지구대,36.6087679,127.4894230,043-280-1704,4.61,충청북도 청주시 서원구 분평로 37
8,청주흥덕경찰서 복대지구대,36.6325071,127.4301625,043-270-3702,6.24,충청북도 청주시 흥덕구 진재로 16
9,청주흥덕경찰서 강서지구대,36.6265533,127.4253665,043-270-3703,6.87,충청북도 청주시 흥덕구 가로수로 1158
10,청주청원경찰서 오창지구대,36.7325389,127.4492417,043-251-1707,10.14,충청북도 청주시 청원구 오창읍 2산단로 113 청주청원경찰서 오창지구대
